Id,SalePrice
1461,119433.7958
1462,158025.7876
1463,180871.8792
1464,202464.8564
1465,192481.0124
1466,171150.6875
1467,178049.3524
1468,163802.4559
1469,195488.2478
1470,120409.9749
1471,195133.6745
1472,101636.913
1473,96650.40188
1474,145647.4739
1475,114564.6294
1476,357962.6572
1477,241077.3433
1478,290260.6913
1479,292382.2914
1480,497938.2303
1481,329393.4835
1482,209433.892
1483,175225.7992
1484,161696.3614
1485,189800.8612
1486,197015.3645
1487,332534.1662
1488,232641.0109
1489,189619.4629
1490,241767.5152
1491,192824.3406
1492,88728.63643
1493,180738.6467
1494,279633.9576
1495,291269.1585
1496,238787.1062
1497,178932.055
1498,169842.0814
1499,165602.5563
1500,160989.9147
1501,173515.9079
1502,147150.2011
1503,291558.2139
1504,245245.3704
1505,227702.935
1506,195383.497
1507,253925.9401
1508,207137.789
1509,163044.3321
1510,145348.818
1511,152731.5015
1512,176656.4104
1513,153631.5786
1514,152331.9277
1515,190901.1941
1516,152258.7444
1517,176669.9441
1518,132919.0282
1519,215683.2392
1520,130657.805
1521,133926.0068
1522,177711.1996
1523,115195.7299
1524,131310.8262
1525,123010.3666
1526,108177.4878
1527,105869.7597
1528,144361.1809
1529,153208.1264
1530,192371.1579
1531,108839.5507
1532,95802.66874
1533,149580.1692
1534,127394.7645
1535,152832.4928
1536,114461.203
1537,61830.47252
1538,146369.3204
1539,188667.6535
1540,95582.03314
1541,139775.1216
1542,141234.9564
1543,185234.5863
1544,84309.66519
1545,116373.2915
1546,134322.5702
1547,125292.3513
1548,134885.1171
1549,124471.7708
1550,134794.5286
1551,105417.5545
1552,139121.2963
1553,151099.919
1554,123152.9969
1555,161980.0462
1556,87414.04201
1557,105398.2048
1558,104296.5988
1559,62891.98494
1560,135741.81
1561,131663.174
1562,131808.7143
1563,123763.1165
1564,155963.2209
1565,146251.5072
1566,233658.2618
1567,76682.1656
1568,241831.7955
1569,129671.399
1570,139414.0624
1571,124474.9278
1572,143661.2475
1573,234164.4296
1574,127235.2159
1575,232895.2949
1576,266331.6311
1577,177996.9553
1578,148633.7334
1579,138314.0667
1580,192698.1844
1581,154817.8053
1582,125078.909
1583,299051.5009
1584,221009.1399
1585,135418.9362
1586,64558.38113
1587,105471.6232
1588,160220.3225
1589,95960.20081
1590,138091.9325
1591,97792.99106
1592,115852.1866
1593,119618.1417
1594,130369.3977
1595,112522.692
1596,224893.323
1597,193346.7841
1598,220411.3662
1599,167634.0161
1600,156995.5603
1601,65429.12029
1602,119143.3123
1603,70694.83144
1604,273601.2693
1605,245665.3896
1606,176671.4735
1607,182646.7389
1608,218929.2448
1609,177986.7466
1610,144571.4676
1611,141000.0944
1612,170851.3787
1613,166468.9876
1614,131359.2846
1615,96767.38364
1616,82842.54362
1617,94884.67769
1618,124758.3378
1619,137925.4438
1620,155412.31
1621,138914.4777
1622,144955.6271
1623,265646.9568
1624,220350.9573
1625,117870.1983
1626,170797.141
1627,191054.0839
1628,282587.7287
1629,174171.8502
1630,358257.5693
1631,223794.4909
1632,236550.1496
1633,170417.4422
1634,183872.9864
1635,173524.6208
1636,151159.3431
1637,200703.907
1638,179408.8173
1639,185897.1001
1640,247102
1641,177655.3529
1642,244214.0168
1643,212373.9557
1644,232787.5763
1645,204031.2725
1646,159634.3324
1647,156818.9421
1648,128726.8819
1649,139388.1891
1650,111224.4908
1651,117722.4611
1652,98862.39754
1653,102017.0181
1654,139988.2214
1655,133852.9031
1656,138681.0862
1657,143657.9747
1658,141789.6255
1659,116661.1606
1660,156504.8793
1661,413394.4399
1662,412162.7613
1663,380408.2846
1664,516129.9825
1665,305990.5339
1666,320990.0257
1667,392362.5971
1668,346347.0811
1669,304306.3352
1670,340689.5863
1671,256961.7157
1672,429722.7213
1673,280164.5421
1674,232101.6029
1675,193189.0338
1676,194253.8781
1677,217700.4889
1678,467606.4264
1679,397057.3622
1680,337350.803
1681,241938.6106
1682,312337.7605
1683,182115.4308
1684,175065.0329
1685,174411.6985
1686,167873.5683
1687,172261.7292
